gamma_true,n_budget,strategy,n_reps,n_cal,p_infinite,coverage_mean,coverage_sd,width_mean,width_sd,width_q25,width_q75,cov_at_d3_mean,gamma_hat_mean,gamma_hat_median,share_gamma_zero,width_vs_oracle
16.0,31,fixed_g1,2000,31,0.0,0.9687512240618394,0.03066704938557353,17.089251973873544,4.057411625119663,14.082217147454811,19.52593441597454,0.904928999268023,,,,1.0556099747443977
16.0,31,marginal,2000,31,0.0,0.9688475083137185,0.02977185879019495,25.07379885914328,9.101546290426564,18.73899055698042,29.565923545828632,0.6714566004122919,,,,1.5488186505127015
16.0,31,oracle_shape,2000,31,0.0,0.969398669298761,0.029927566304079292,16.18898303609862,3.0888578075139788,14.037947490492265,17.997444040636655,0.9693986692987607,,,,1.0
16.0,31,tuned_split,2000,19,0.0,0.9499826797454441,0.04811109949437737,21.779769509322612,9.056824433543328,15.4699021426834,26.110793608667265,0.6033372750452011,0.0,0.0,1.0,1.345345131362329
16.0,50,fixed_g1,2000,50,0.0,0.9611389503409877,0.02594720096141947,15.384774885754359,2.674405137506097,13.526714445753699,17.025370964242356,0.8824250466739779,,,,1.0385279242505865
16.0,50,marginal,2000,50,0.0,0.9611848301835512,0.02635817578506433,21.413832245632612,5.63084063681455,17.4461571329242,24.468624330484914,0.6132979701141041,,,,1.4455110924566954
16.0,50,oracle_shape,2000,50,0.0,0.9598451187736191,0.028416960538953616,14.81402139172732,2.1280992015331974,13.311680761475523,16.201034143825222,0.9598451187736189,,,,1.0
16.0,50,tuned_split,2000,30,0.0,0.9679272194676883,0.03126562655871476,24.228554941544743,34.88597474050732,14.627936789275289,22.038831224032474,0.937833457036805,1352.328,8.0,0.0525,1.6355150502938276
16.0,100,fixed_g1,2000,100,0.0,0.949602120117752,0.022038255761965175,13.977639904392024,1.7207340639469368,12.754106515652817,15.101566249023751,0.8533856999370081,,,,1.0115791036944772
16.0,100,marginal,2000,100,0.0,0.9501860652116295,0.02190258849024762,18.5193095937339,3.245749068368474,16.107453470938506,20.487276268859755,0.5539421502658195,,,,1.3402653615352758
16.0,100,oracle_shape,2000,100,0.0,0.9504048639548961,0.021709137840213104,13.81764397202656,1.3366209072657362,12.910210178186762,14.640304526006592,0.950404863954896,,,,1.0
16.0,100,tuned_split,2000,60,0.0,0.9503428420897904,0.027125672808614627,14.761656265129899,3.6527325046545704,12.874733421816881,15.7944610077553,0.9072785611871782,204.71058333333332,5.0,0.0195,1.06831933830503
16.0,200,fixed_g1,2000,200,0.0,0.950077225501376,0.015830554368818035,13.84759220594268,1.2046339127626078,13.04680308932927,14.59213559716332,0.852816597755146,,,,1.0101590519196726
16.0,200,marginal,2000,200,0.0,0.950389771512979,0.015174652327802745,18.15505034034416,2.16940382571265,16.677855059530316,19.394399386968157,0.547220394448029,,,,1.324381030767617
16.0,200,oracle_shape,2000,200,0.0,0.9505663773901663,0.015541173001663074,13.708328584124628,0.9501141930626754,13.04882037542804,14.345179212023659,0.950566377390166,,,,1.0
16.0,200,tuned_split,2000,120,0.0,0.9503525284069044,0.01976942814208024,13.805219543427922,1.5869574564615974,12.721169267034849,14.684413802052541,0.9099553587878352,11.248916666666666,4.0,0.0025,1.0070680359541062
16.0,400,fixed_g1,2000,400,0.0,0.9498449616770661,0.011142003414841525,13.744484595890913,0.8420006280202303,13.173273264478343,14.285095044538053,0.8514231606577677,,,,1.0094783805930978
16.0,400,marginal,2000,400,0.0,0.9499777750589488,0.010956560880463146,17.931531128870827,1.5414704691678467,16.88048742746729,18.88962396881667,0.5425424677484063,,,,1.3170004942156155
16.0,400,oracle_shape,2000,400,0.0,0.9500831633209835,0.01103631806864866,13.615432346174298,0.6617194128743428,13.160544901324416,14.063215257340584,0.9500831633209834,,,,1.0
16.0,400,tuned_split,2000,240,0.0,0.9499994036908841,0.014144350178760673,13.429268849314623,0.9944724369447319,12.742797617279958,14.02440027043536,0.9105579686872431,5.371791666666666,4.0,0.0,0.9863270227396059
16.0,800,fixed_g1,2000,800,0.0,0.9498290395552162,0.00759232554642881,13.69836061372738,0.5682645943656456,13.285435605255202,14.066005826058518,0.8509178240068841,,,,1.008635837506796
16.0,800,marginal,2000,800,0.0,0.9498790794508148,0.007775558153913425,17.83037527483851,1.086506420474316,17.083230152315455,18.53097906173745,0.5404644358700184,,,,1.312883782631241
16.0,800,oracle_shape,2000,800,0.0,0.9500423942879209,0.0076508093186963425,13.581076642673905,0.458041980018655,13.25661029524122,13.895464324152874,0.9500423942879208,,,,1.0
16.0,800,tuned_split,2000,480,0.0,0.9501002099535629,0.009715351886285086,13.257190250398269,0.6550491836649128,12.801186935611769,13.661266957783363,0.9119266537248722,4.420875,4.0,0.0,0.9761516409341264
16.0,1600,fixed_g1,2000,1600,0.0,0.950150259158235,0.005440083204398884,13.703689126976386,0.40639620662066633,13.426412551708392,13.969140251317015,0.8514297212365015,,,,1.0098376021824491
16.0,1600,marginal,2000,1600,0.0,0.9499493492407339,0.00569392566714622,17.798491356345387,0.7844878930204099,17.259276220878146,18.347457118780227,0.5398805676152633,,,,1.311587388419005
