family,seed,analysis,method,stratum,n_cal,n_eval,picp,mpiw,crps_uniform
aug_theta_testsplit,3,uncert,mondrian_cqr,2,185,221,0.9547511312217195,1.8284573134254007,0.26091430059596005
semf_testsplit,4,regime,raw,full,0,555,0.15675675675675677,0.2740797129775618,0.5088083852968791
semf_testsplit,4,regime,global_cqr,full,554,555,0.9405405405405406,2.8410530383606916,0.42115524010460503
semf_testsplit,4,regime,mask_matched_cqr,full,554,555,0.9405405405405406,2.8410530383606916,0.42115524010460503
semf_testsplit,4,regime,raw,no_img,0,555,0.15495495495495495,0.3075319508937143,0.5955817168572903
semf_testsplit,4,regime,global_cqr,no_img,554,555,0.9027027027027027,2.874505276276844,0.4808629731795345
semf_testsplit,4,regime,mask_matched_cqr,no_img,554,555,0.9333333333333333,3.2472249985672286,0.4897257894186996
semf_testsplit,4,regime,raw,no_text,0,555,0.15315315315315314,0.2668795021106321,0.5118142942465512
semf_testsplit,4,regime,global_cqr,no_text,554,555,0.9297297297297298,2.8338528274937618,0.4250074938376067
semf_testsplit,4,regime,mask_matched_cqr,no_text,554,555,0.9297297297297298,2.8680921607005927,0.4260390639423638
semf_testsplit,4,regime,raw,tab_only,0,555,0.16036036036036036,0.29228164939868456,0.607298335771274
semf_testsplit,4,regime,global_cqr,tab_only,554,555,0.8990990990990991,2.8592549747818143,0.4878831375609332
semf_testsplit,4,regime,mask_matched_cqr,tab_only,554,555,0.9297297297297298,3.2753283351072087,0.4974924100332825
semf_testsplit,4,uncert,global_cqr,0,554,169,0.9467455621301775,2.695851880734157,0.3792659768887454
semf_testsplit,4,uncert,mondrian_cqr,0,185,169,0.9526627218934911,2.764457970260097,0.3820912549398632
semf_testsplit,4,uncert,global_cqr,1,554,195,0.9333333333333333,2.7977407172837876,0.427249377816662
semf_testsplit,4,uncert,mondrian_cqr,1,184,195,0.9025641025641026,2.550404923103396,0.42200641294163904
semf_testsplit,4,uncert,global_cqr,2,554,191,0.9424083769633508,3.0137488407108526,0.4519977983749148
semf_testsplit,4,uncert,mondrian_cqr,2,185,191,0.9633507853403142,3.489302140692245,0.4669111574447293
semf_testsplit,4,region,global_cqr,0,554,153,0.9019607843137255,2.8462601743247373,0.49427922321288364
