dataset,seed,base,calibration,bin,n,picp,mpiw,crps,disagreement_mean
imdb_wiki,1,sourcewise_quantile,difficulty_weighted,mid,1356,0.9616519174041298,46.92622756958008,7.901045562190136,1.2937287092208862
imdb_wiki,1,sourcewise_quantile,difficulty_weighted,high,1267,0.925808997632202,61.25176239013672,10.317227682356238,2.4369397163391113
imdb_wiki,1,sourcewise_quantile,binned_weighted_dis,low,1299,0.9699769053117783,45.60132598876953,6.955868633895309,0.6112774014472961
imdb_wiki,1,sourcewise_quantile,binned_weighted_dis,mid,1356,0.9646017699115044,45.09354782104492,7.754132296553864,1.2937287092208862
imdb_wiki,1,sourcewise_quantile,binned_weighted_dis,high,1267,0.9179163378058406,49.14484786987305,9.554900508010432,2.4369397163391113
imdb_wiki,2,xgb_point,marginal,low,1260,0.9428571428571428,35.608768463134766,5.39434172140694,0.5762482285499573
imdb_wiki,2,xgb_point,marginal,mid,1381,0.9594496741491673,35.6087646484375,4.813199460569968,1.242805004119873
imdb_wiki,2,xgb_point,marginal,high,1281,0.9469164715066355,35.6087646484375,4.9351836636397355,2.3655953407287598
imdb_wiki,2,xgb_point,mondrian_dis,low,1260,0.9492063492063492,36.52055740356445,5.416501575093581,0.5762482285499573
imdb_wiki,2,xgb_point,mondrian_dis,mid,1381,0.9565532223026793,34.375858306884766,4.7677205909153715,1.242805004119873
imdb_wiki,2,xgb_point,mondrian_dis,high,1281,0.9516003122560499,36.38493347167969,4.963640134082272,2.3655953407287598
imdb_wiki,2,xgb_point,weighted_dis,low,1260,0.9428571428571428,35.608768463134766,5.39434172140694,0.5762482285499573
imdb_wiki,2,xgb_point,weighted_dis,mid,1381,0.9594496741491673,35.6087646484375,4.813199460569968,1.242805004119873
imdb_wiki,2,xgb_point,weighted_dis,high,1281,0.9469164715066355,35.6087646484375,4.9351836636397355,2.3655953407287598
imdb_wiki,2,xgb_point,difficulty_weighted,low,1260,0.942063492063492,35.992271423339844,5.398539086238547,0.5762482285499573
imdb_wiki,2,xgb_point,difficulty_weighted,mid,1381,0.9522085445329471,32.236785888671875,4.595807450241874,1.242805004119873
imdb_wiki,2,xgb_point,difficulty_weighted,high,1281,0.9570647931303669,34.04963684082031,4.759344100691981,2.3655953407287598
imdb_wiki,2,xgb_point,binned_weighted_dis,low,1260,0.9428571428571428,35.608768463134766,5.39434172140694,0.5762482285499573
imdb_wiki,2,xgb_point,binned_weighted_dis,mid,1381,0.9594496741491673,35.6087646484375,4.813199460569968,1.242805004119873
imdb_wiki,2,xgb_point,binned_weighted_dis,high,1281,0.9469164715066355,35.6087646484375,4.9351836636397355,2.3655953407287598
imdb_wiki,2,xgb_quantile,marginal,low,1260,0.9587301587301588,39.879249572753906,6.145793333310328,0.5762482285499573
imdb_wiki,2,xgb_quantile,marginal,mid,1381,0.9674149167270094,36.51542282104492,5.597894907498687,1.242805004119873
imdb_wiki,2,xgb_quantile,marginal,high,1281,0.9352068696330992,41.627891540527344,7.246177558007535,2.3655953407287598
imdb_wiki,2,xgb_quantile,mondrian_dis,low,1260,0.9468253968253968,38.00505065917969,6.1189776942716705,0.5762482285499573
imdb_wiki,2,xgb_quantile,mondrian_dis,mid,1381,0.9580014482259233,35.09255599975586,5.576225138049819,1.242805004119873
imdb_wiki,2,xgb_quantile,mondrian_dis,high,1281,0.9516003122560499,44.86319351196289,7.276861651542157,2.3655953407287598
imdb_wiki,2,xgb_quantile,weighted_dis,low,1260,0.9523809523809523,38.79460144042969,6.128829006130037,0.5762482285499573
imdb_wiki,2,xgb_quantile,weighted_dis,mid,1381,0.9645184648805214,35.8545036315918,5.5867695223008145,1.242805004119873
imdb_wiki,2,xgb_quantile,weighted_dis,high,1281,0.9414519906323185,42.27433395385742,7.232110962066192,2.3655953407287598
imdb_wiki,2,xgb_quantile,difficulty_weighted,low,1260,0.9492063492063492,42.658775329589844,6.393544802578791,0.5762482285499573
imdb_wiki,2,xgb_quantile,difficulty_weighted,mid,1381,0.9580014482259233,43.295677185058594,6.133446459183365,1.242805004119873
imdb_wiki,2,xgb_quantile,difficulty_weighted,high,1281,0.9445745511319282,50.0671272277832,7.720375659828535,2.3655953407287598
imdb_wiki,2,xgb_quantile,binned_weighted_dis,low,1260,0.9555555555555556,39.56779479980469,6.140614175608734,0.5762482285499573
imdb_wiki,2,xgb_quantile,binned_weighted_dis,mid,1381,0.9674149167270094,36.47311019897461,5.597150041608298,1.242805004119873
imdb_wiki,2,xgb_quantile,binned_weighted_dis,high,1281,0.936768149882904,41.867862701416016,7.247362085755297,2.3655953407287598
imdb_wiki,2,sourcewise_stack,marginal,low,1260,0.9404761904761905,36.40023422241211,5.40579602516842,0.5762482285499573
imdb_wiki,2,sourcewise_stack,marginal,mid,1381,0.9645184648805214,36.400238037109375,4.8920499948126475,1.242805004119873
imdb_wiki,2,sourcewise_stack,marginal,high,1281,0.9578454332552693,36.400238037109375,4.938774785805352,2.3655953407287598
imdb_wiki,2,sourcewise_stack,mondrian_dis,low,1260,0.9436507936507936,37.01392364501953,5.421536964789975,0.5762482285499573
imdb_wiki,2,sourcewise_stack,mondrian_dis,mid,1381,0.9565532223026793,34.85714340209961,4.835029311198821,1.242805004119873
imdb_wiki,2,sourcewise_stack,mondrian_dis,high,1281,0.9601873536299765,38.059539794921875,5.003787029770334,2.3655953407287598
imdb_wiki,2,sourcewise_stack,weighted_dis,low,1260,0.9404761904761905,36.40023422241211,5.40579602516842,0.5762482285499573
