dataset,base,calibration,bin,n_mean,picp_mean,picp_std,mpiw_mean,mpiw_std,crps_mean,disagreement_mean
mercari,xgb_point,mondrian_dis,mid,3342.4,0.9504484518817862,0.002422900353523645,2.2469303607940674,0.033056932962303984,0.32883459342406185,0.7931935310363769
mercari,xgb_point,weighted_dis,high,3339.2,0.9399188157023415,0.010850593634460405,2.4500537395477293,0.10139446113262814,0.3648743190199081,1.8767653226852417
mercari,xgb_point,weighted_dis,low,3318.4,0.957048037643067,0.005141994517858748,2.2558884620666504,0.08283222007171101,0.32328871089843086,0.24297174215316772
mercari,xgb_point,weighted_dis,mid,3342.4,0.9535816446953049,0.005114871804820734,2.287402057647705,0.056215702330236594,0.3300330809965934,0.7931935310363769
mercari,xgb_quantile,binned_weighted_dis,high,3339.2,0.9345821188029643,0.002630420788054136,2.596141242980957,0.023867844910468203,0.4295281786804228,1.8767653226852417
mercari,xgb_quantile,binned_weighted_dis,low,3318.4,0.9569926186462592,0.002425083536107517,2.4534640312194824,0.019953682305017848,0.37264490031172615,0.24297174215316772
mercari,xgb_quantile,binned_weighted_dis,mid,3342.4,0.9570384375030692,0.004263567683184271,2.48514838218689,0.018245278039045285,0.38066210183675225,0.7931935310363769
mercari,xgb_quantile,difficulty_weighted,high,3339.2,0.9377600241299497,0.001705573295031676,3.426155138015747,1.2100877766718596,0.4913705930621409,1.8767653226852417
mercari,xgb_quantile,difficulty_weighted,low,3318.4,0.9571646364507552,0.0024330622742779412,2.6035182952880858,0.10508782827040651,0.3829374024898516,0.24297174215316772
mercari,xgb_quantile,difficulty_weighted,mid,3342.4,0.9564992190633961,0.0031936203976156907,2.7787944793701174,0.33980274426545787,0.4028934652044806,0.7931935310363769
mercari,xgb_quantile,marginal,high,3339.2,0.933024272180182,0.0021241172895347855,2.5858643531799315,0.017066245236351262,0.4294149484644185,1.8767653226852417
mercari,xgb_quantile,marginal,low,3318.4,0.9584910542550311,0.0022230249382610406,2.467057466506958,0.02039180621712815,0.37292194375629334,0.24297174215316772
mercari,xgb_quantile,marginal,mid,3342.4,0.9572195072689172,0.004355817486545177,2.487286901473999,0.01869617301572538,0.38070452956830525,0.7931935310363769
mercari,xgb_quantile,mondrian_dis,high,3339.2,0.9440438108576522,0.0037926676794532857,2.7077184200286863,0.03934747146920421,0.43101220566189474,1.8767653226852417
mercari,xgb_quantile,mondrian_dis,low,3318.4,0.9537139099006436,0.005281267309108906,2.4270463466644285,0.03879634090668534,0.3721423503559283,0.24297174215316772
mercari,xgb_quantile,mondrian_dis,mid,3342.4,0.9511964539159464,0.0056743186064168345,2.437167501449585,0.02009734116976937,0.37980147917940305,0.7931935310363769
mercari,xgb_quantile,weighted_dis,high,3339.2,0.9398986937135225,0.005447533810336621,2.644618606567383,0.04839496616839546,0.4296088974664767,1.8767653226852417
mercari,xgb_quantile,weighted_dis,low,3318.4,0.9544884850972801,0.004798629620526575,2.4307579040527343,0.040599131308548045,0.37221014813306785,0.24297174215316772
mercari,xgb_quantile,weighted_dis,mid,3342.4,0.9550874527835489,0.005504288268956142,2.470418167114258,0.023810649861008355,0.3803843670079026,0.7931935310363769
pawpularity,sourcewise_quantile,binned_weighted_dis,high,695.2,0.9578029402179178,0.005442573427148307,90.40050354003907,0.8850953306632108,14.907270585559562,2.118622350692749
pawpularity,sourcewise_quantile,binned_weighted_dis,low,645.2,0.9513016228509341,0.008734904999676508,83.63001251220703,6.180490974695566,13.176987348793105,0.3074746012687683
pawpularity,sourcewise_quantile,binned_weighted_dis,mid,642.6,0.9556320902933446,0.013952410447027568,85.30939178466797,4.7228958161060275,13.453490046597064,0.9282015442848206
pawpularity,sourcewise_quantile,difficulty_weighted,high,695.2,0.9486932172292853,0.010223264782801925,707.221174621582,848.5933393582493,66.10945245330913,2.118622350692749
pawpularity,sourcewise_quantile,difficulty_weighted,low,645.2,0.9550414167856154,0.006582904501707336,115.36148986816406,51.83190367853181,15.649572115651853,0.3074746012687683
pawpularity,sourcewise_quantile,difficulty_weighted,mid,642.6,0.9579032262557915,0.010594680252934049,126.88527984619141,60.17013315034754,16.86762983971741,0.9282015442848206
pawpularity,sourcewise_quantile,marginal,high,695.2,0.9457405887482494,0.012593865324414954,88.31855773925781,2.1311938145439155,14.883662910338927,2.118622350692749
pawpularity,sourcewise_quantile,marginal,low,645.2,0.9597143366923028,0.006024192468766972,87.53575744628907,2.6637992241088413,13.258342863282596,0.3074746012687683
pawpularity,sourcewise_quantile,marginal,mid,642.6,0.9603023945800369,0.010061983614854862,87.4793197631836,2.946953614422759,13.498386998084722,0.9282015442848206
pawpularity,sourcewise_quantile,mondrian_dis,high,695.2,0.9601626815744927,0.004935768590509655,90.95521545410156,1.066117148481005,14.899565348476305,2.118622350692749
pawpularity,sourcewise_quantile,mondrian_dis,low,645.2,0.9440102668711875,0.020815819769890487,82.94807434082031,5.325525015250891,13.208514038447522,0.3074746012687683
