dataset,base,calibration,r2_mean,rmse_mean,mae_mean,picp_mean,mpiw_mean,niw_mean,nciw_mean,c_test_cal_mean,crps_mean,n_seeds,r2_std,rmse_std,mae_std,picp_std,mpiw_std,niw_std,nciw_std,c_test_cal_std,crps_std,delta_mpiw_vs_marginal_mean,delta_mpiw_vs_marginal_std,delta_nciw_vs_marginal_mean,delta_nciw_vs_marginal_std,delta_crps_vs_marginal_mean,delta_crps_vs_marginal_std,delta_picp_vs_marginal_mean,delta_picp_vs_marginal_std
mercari,sourcewise_quantile,marginal,0.2825011134147644,0.6340099771880915,0.47514639496803285,0.95076,2.4729328632354735,0.3309126143540374,0.32958552114251505,0.9960065245628357,0.3844503162274709,5,0.006634167028340788,0.0029324076981884543,0.001377385320976611,0.0010945318634009301,0.01704202624374132,0.0022804587791470177,0.0022395181030044585,0.006402035625935352,0.0018891263947216016,,,,,,,,
mercari,sourcewise_quantile,mondrian_dis,0.2825011134147644,0.6340099771880915,0.47514639496803285,0.9503,2.4758995532989503,0.33130959850976527,0.3308815812244981,0.9987313628196717,0.38435112154129203,5,0.006634167028340788,0.0029324076981884543,0.001377385320976611,0.0010173494974688134,0.016504135578048983,0.002208481569790857,0.0011751033078595467,0.005137151810738867,0.001898753284021464,0.0029666900634765627,0.007786572861521927,0.0012960600819830526,0.0014572972171831148,-9.919468617884953e-05,0.0001428780275778038,-0.00046000000000001595,0.001123832727766877
mercari,sourcewise_quantile,weighted_dis,0.2825011134147644,0.6340099771880915,0.47514639496803285,0.95096,2.471199321746826,0.3306806425303669,0.3289695918500469,0.9948665738105774,0.38419067481943625,5,0.006634167028340788,0.0029324076981884543,0.001377385320976611,0.0014690132742763403,0.023113954544817062,0.003092966752230647,0.0019331508066063672,0.007063405514639017,0.0019091735733461279,-0.001733541488647461,0.009050606131531535,-0.000615929292468087,0.0009115804853693688,-0.00025964140803464987,9.165091291725502e-05,0.00020000000000002237,0.0010464224768228217
mercari,sourcewise_stack,binned_weighted_dis,0.3708130121231079,0.5937094956100821,0.4508889138698578,0.9494400000000001,2.3269829750061035,0.3113825010231518,0.312599708585558,1.0039453744888305,0.3380103351425462,5,0.006795477027725474,0.0032046557152590385,0.0023046157756595824,0.0010784247771634548,0.02194664916048953,0.002936765149583013,0.002641313317738353,0.008579077158515497,0.0017553461467169817,-0.0005414485931396484,0.006129977810753804,-8.140388271805632e-05,0.0008856082044839855,-0.0001102119203898133,0.00020909904099827438,9.999999999998899e-05,0.00046368092477480595
mercari,sourcewise_stack,difficulty_weighted,0.3708130121231079,0.5937094956100821,0.4508889138698578,0.94946,2.3576759338378905,0.31548964335616236,0.3164929832904059,1.0032648205757142,0.3381393063295118,5,0.006795477027725474,0.0032046557152590385,0.0023046157756595824,0.001651665825764982,0.03765200886164165,0.005038359461075608,0.003734049534055997,0.009916292880332175,0.001958125710171677,0.030151510238647462,0.02884484842426129,0.0038118708221298704,0.002009060021339238,1.8759266575740785e-05,0.00125648062598444,0.00011999999999998679,0.001672423391369527
mercari,sourcewise_stack,marginal,0.3708130121231079,0.5937094956100821,0.4508889138698578,0.94934,2.327524423599243,0.3114549543324016,0.3126811124682761,1.003947639465332,0.33812054706293604,5,0.006795477027725474,0.0032046557152590385,0.0023046157756595824,0.0007829431652425307,0.01997573951515174,0.0026730301840728545,0.002500934422633305,0.004142800698633752,0.0017189960433907673,,,,,,,,
mercari,sourcewise_stack,mondrian_dis,0.3708130121231079,0.5937094956100821,0.4508889138698578,0.9487399999999999,2.3322897434234617,0.31209262002268734,0.31407151312926507,1.0064055681228639,0.3381206319775819,5,0.006795477027725474,0.0032046557152590385,0.0023046157756595824,0.0018392933425638869,0.023459717370610568,0.0031392345997451254,0.0028276501552444017,0.011916900248352687,0.0016868046866868618,0.00476531982421875,0.0113554491093753,0.0013904006609889775,0.0028900271377402882,8.491464584814423e-08,0.00029655027497253224,-0.0006000000000000227,0.002254994456755928
mercari,sourcewise_stack,weighted_dis,0.3708130121231079,0.5937094956100821,0.4508889138698578,0.9498000000000001,2.3330227375030517,0.3121907047668343,0.3123266960271073,1.0005420684814452,0.33804913440414813,5,0.006795477027725474,0.0032046557152590385,0.0023046157756595824,0.001560448653432714,0.03273748212271242,0.0043807278222756235,0.0022656890103452203,0.011048577299451978,0.0019156764945928693,0.005498313903808593,0.01965109992171919,-0.00035441644116880334,0.000695058376025205,-7.141265878790604e-05,0.0007097413391322096,0.00046000000000001595,0.0011414902540101044
mercari,xgb_point,binned_weighted_dis,0.3642117381095886,0.5968161686843718,0.4545966625213623,0.95016,2.3334907054901124,0.31225332535485534,0.3119363850690725,0.999092960357666,0.3398298060187718,5,0.0067345758734809885,0.003158106074601131,0.0018193500082408914,0.0020574255758107106,0.029564768816325755,0.003956174907628904,0.0017497848397186914,0.01182130718855811,0.001875497025763468,0.0017457008361816406,0.011055404197007563,-0.0008112023010879099,0.0009134167569471969,-9.853150707073155e-05,0.0003048528836908111,0.0004999999999999672,0.0007874007874011402
mercari,xgb_point,difficulty_weighted,0.3642117381095886,0.5968161686843718,0.4545966625213623,0.95102,2.3782951831817627,0.318248784054172,0.31612410966242105,0.9933375835418701,0.34011629241547847,5,0.0067345758734809885,0.003158106074601131,0.0018193500082408914,0.0021707141681944647,0.029630468806241785,0.003964966474819974,0.005671251363912941,0.013981269568738307,0.0019328953125506796,0.04655017852783203,0.03628154133593915,0.003376522292260653,0.0057015230948096185,0.00018795488963594398,0.0012016306918791956,0.0013599999999999834,0.003564828186603123
mercari,xgb_point,marginal,0.3642117381095886,0.5968161686843718,0.4545966625213623,0.9496600000000001,2.3317450046539308,0.31201972644233766,0.3127475873701604,1.0024303793907166,0.3399283375258425,5,0.0067345758734809885,0.003158106074601131,0.0018193500082408914,0.002082786594925169,0.02599927013914145,0.0034790618786891673,0.0013028768317722332,0.011702303608836357,0.0016231270140510362,,,,,,,,
mercari,xgb_point,mondrian_dis,0.3642117381095886,0.5968161686843718,0.4545966625213623,0.95062,2.343580150604248,0.3136034326342466,0.31215559814833577,0.995400893688202,0.34003329212315464,5,0.0067345758734809885,0.003158106074601131,0.0018193500082408914,0.0007395944834840149,0.018718145153797314,0.0025047466677269076,0.0019051079269631632,0.00416239072434847,0.0015525646070627783,0.011835145950317382,0.009720089066624592,-0.0005919892218246181,0.00151241391360968,0.00010495459731212353,0.00026196454987875944,0.0009599999999999831,0.0013667479650615818
mercari,xgb_point,weighted_dis,0.3642117381095886,0.5968161686843718,0.4545966625213623,0.9501799999999999,2.33121919631958,0.31194936601599704,0.3113797549057899,0.9982489585876465,0.339452210113998,5,0.0067345758734809885,0.003158106074601131,0.0018193500082408914,0.001940876090841451,0.025618559771538596,0.003428117566804226,0.00258981199511983,0.011571246302739337,0.001702369867925297,-0.000525808334350586,0.007049222907343673,-0.0013678324643704776,0.0016752957972049805,-0.0004761274118445069,0.0004794180967571058,0.0005200000000000094,0.0011861703081767145
mercari,xgb_quantile,binned_weighted_dis,0.3091012597084045,0.6221466450020723,0.46626533269882203,0.94952,2.5116557121276855,0.33609426701944506,0.3365233624400207,1.0013162255287171,0.3943197682009383,5,0.006315467628436986,0.00284449290755165,0.0012412026680817232,0.0015056560032092232,0.01840174008646734,0.002462407294272175,0.0008065638649421084,0.007146770946494916,0.001239434729109899,-0.0017993927001953125,0.00304543650462303,-0.0004205129053609036,0.0005936709462107826,-6.838623600323724e-05,8.950124726278938e-05,-3.999999999999559e-05,8.944271909998174e-05
mercari,xgb_quantile,difficulty_weighted,0.3091012597084045,0.6221466450020723,0.46626533269882203,0.95046,2.9365522861480713,0.39295130435736947,0.39254876843158526,0.9985537767410279,0.4257961192678801,5,0.006315467628436986,0.00284449290755165,0.0012412026680817232,0.0014741099009232214,0.5491474708585521,0.07348352555352311,0.07478319514629952,0.006536659706507535,0.04574208975576124,0.4230971813201904,0.5498351007681879,0.05560489308620362,0.07462139702808253,0.03140796483093854,0.046347804487578505,0.0008999999999999897,0.0011832159566199359
mercari,xgb_quantile,marginal,0.3091012597084045,0.6221466450020723,0.46626533269882203,0.94956,2.513455104827881,0.3363350506458522,0.3369438753453816,1.0018441438674928,0.39438815443694153,5,0.006315467628436986,0.00284449290755165,0.0012412026680817232,0.0015076471735787442,0.01859071876297793,0.002487695254503919,0.0010241459931099764,0.006301277612147871,0.0012152150930212935,,,,,,,,
mercari,xgb_quantile,mondrian_dis,0.3091012597084045,0.6221466450020723,0.46626533269882203,0.9496,2.523823547363281,0.3377224916383585,0.3380270405734479,1.0009525179862977,0.39435658792840017,5,0.006315467628436986,0.00284449290755165,0.0012412026680817232,0.0021023796041628917,0.018219724612352616,0.002438051106812486,0.0018821299705544998,0.010302210913338583,0.0012121734646767066,0.010368442535400391,0.006455454951834919,0.0010831652280663296,0.0018585325295888628,-3.156650854138077e-05,0.0001321862618633276,4.00000000000178e-05,0.0006542170893518561
mercari,xgb_quantile,weighted_dis,0.3091012597084045,0.6221466450020723,0.46626533269882203,0.94976,2.514940786361694,0.33653385538000435,0.33679941356493914,1.0008158445358277,0.3941059126303462,5,0.006315467628436986,0.00284449290755165,0.0012412026680817232,0.001431083505599836,0.0167722571209253,0.002244359939979097,0.001391746995508817,0.006295639185483611,0.0012948391020671003,0.0014856815338134765,0.008856955818903129,-0.00014446178044243973,0.0010827537566820518,-0.00028224180659530695,0.00022032537277117298,0.00019999999999997797,0.0007778174593051915
