dataset,seed,regime,method,picp,mpiw,niw,nciw,crps,c_test_cal,q_global,q_pooled_masked,q_regime
mercari,3,full,mask_matched_cal,0.9462,2.28578782081604,0.3058700197203168,0.3125968493037378,0.33776857072927574,1.0219924449920654,1.1428940296173096,1.3306400775909424,1.1428940296173096
mercari,3,no_text,global_full_cal,0.9247,2.28578782081604,0.3058700197203168,0.3495773475402085,0.37675496311413376,1.1428951025009155,1.1428940296173096,1.3306400775909424,1.3306400775909424
mercari,3,no_text,pooled_masked_cal,0.9526,2.6612799167633057,0.3561160546962187,0.3495773327384654,0.38521528686671047,0.9816387891769409,1.1428940296173096,1.3306400775909424,1.3306400775909424
mercari,3,no_text,mask_matched_cal,0.9526,2.6612799167633057,0.3561160546962187,0.3495773327384654,0.38521528686671047,0.9816387891769409,1.1428940296173096,1.3306400775909424,1.3306400775909424
mercari,3,tab_only,global_full_cal,0.9247,2.28578782081604,0.3058700197203168,0.3495773475402085,0.37675496311413376,1.1428951025009155,1.1428940296173096,1.3306400775909424,1.3306400775909424
mercari,3,tab_only,pooled_masked_cal,0.9526,2.6612799167633057,0.3561160546962187,0.3495773327384654,0.38521528686671047,0.9816387891769409,1.1428940296173096,1.3306400775909424,1.3306400775909424
mercari,3,tab_only,mask_matched_cal,0.9526,2.6612799167633057,0.3561160546962187,0.3495773327384654,0.38521528686671047,0.9816387891769409,1.1428940296173096,1.3306400775909424,1.3306400775909424
mercari,4,full,global_full_cal,0.9516,2.3475193977355957,0.31413055837477943,0.3114736176388995,0.339247007361952,0.9915419220924377,1.1737596988677979,1.312506914138794,1.1737596988677979
mercari,4,full,pooled_masked_cal,0.9516,2.3475193977355957,0.31413055837477943,0.3114736176388995,0.339247007361952,0.9915419220924377,1.1737596988677979,1.312506914138794,1.1737596988677979
mercari,4,full,mask_matched_cal,0.9516,2.3475193977355957,0.31413055837477943,0.3114736176388995,0.339247007361952,0.9915419220924377,1.1737596988677979,1.312506914138794,1.1737596988677979
mercari,4,no_text,global_full_cal,0.9339,2.3475193977355957,0.31413055837477943,0.3539382160612822,0.3779791332673382,1.126723289489746,1.1737596988677979,1.312506914138794,1.312506914138794
